2025-12-19 00:26:28.320 [main] WARN  [cloud.catfish.data.kafka.KafkaConsumerService] - No IP tag rules found in database.
2025-12-19 00:27:27.844 [main] WARN  [cloud.catfish.data.kafka.KafkaConsumerService] - No IP tag rules found in database.
2025-12-19 00:28:01.801 [main] WARN  [cloud.catfish.data.kafka.KafkaConsumerService] - No IP tag rules found in database.
2025-12-19 00:28:34.620 [main] WARN  [cloud.catfish.data.kafka.KafkaConsumerService] - No IP tag rules found in database.
2025-12-19 00:29:19.071 [main] WARN  [cloud.catfish.data.kafka.KafkaConsumerService] - No IP tag rules found in database.
2025-12-19 00:29:54.435 [main] WARN  [cloud.catfish.data.kafka.KafkaConsumerService] - No IP tag rules found in database.
2025-12-19 00:31:14.822 [main] WARN  [cloud.catfish.data.kafka.KafkaConsumerService] - No IP tag rules found in database.
2025-12-19 00:31:15.108 [main] WARN  [i.n.resolver.dns.DnsServerAddressStreamProviders] - Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos'
2025-12-19 00:31:15.222 [main] WARN  [org.springdoc.core.events.SpringDocAppInitializer] - SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2025-12-19 00:31:15.222 [main] WARN  [org.springdoc.core.events.SpringDocAppInitializer] - SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2025-12-19 00:31:15.325 [scheduling-1] WARN  [cloud.catfish.data.kafka.KafkaConsumerService] - No IP tag rules found in database.
2025-12-19 00:31:15.842 [kafka-producer-network-thread | data-service-producer-1] WARN  [org.apache.kafka.clients.NetworkClient] - [Producer clientId=data-service-producer-1] The metadata response from the cluster reported a recoverable issue with correlation id 1 : {data-import-topic=UNKNOWN_TOPIC_OR_PARTITION}
2025-12-19 00:41:19.383 [main] WARN  [cloud.catfish.data.kafka.KafkaConsumerService] - No IP tag rules found in database.
2025-12-19 00:41:19.677 [main] WARN  [i.n.resolver.dns.DnsServerAddressStreamProviders] - Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos'
2025-12-19 00:41:57.072 [main] WARN  [cloud.catfish.data.kafka.KafkaConsumerService] - No IP tag rules found in database.
2025-12-19 00:41:57.351 [main] WARN  [i.n.resolver.dns.DnsServerAddressStreamProviders] - Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos'
2025-12-19 00:41:57.462 [main] WARN  [org.springdoc.core.events.SpringDocAppInitializer] - SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2025-12-19 00:41:57.462 [main] WARN  [org.springdoc.core.events.SpringDocAppInitializer] - SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2025-12-19 00:41:57.554 [scheduling-1] WARN  [cloud.catfish.data.kafka.KafkaConsumerService] - No IP tag rules found in database.
